fips,date,zhvi
Kings County,2025-01-31,354689.9182366764
Napa County,2025-01-31,949308.768694513
Humboldt County,2025-01-31,450575.7270342421
Nevada County,2025-01-31,626330.2117092499
Sutter County,2025-01-31,445575.5801767832
Mendocino County,2025-01-31,517920.521989421
Yuba County,2025-01-31,434625.0363939461
Lake County,2025-01-31,319774.02417779056
Tehama County,2025-01-31,317686.17389517743
San Benito County,2025-01-31,783297.3778444835
Tuolumne County,2025-01-31,408145.2780617962
Calaveras County,2025-01-31,458490.3600960942
Siskiyou County,2025-01-31,291843.8798810596
Amador County,2025-01-31,432730.2498058795
Lassen County,2025-01-31,229438.01086756084
Glenn County,2025-01-31,349998.68157043494
Del Norte County,2025-01-31,370060.1887839856
Colusa County,2025-01-31,376394.91526741936
Plumas County,2025-01-31,367110.5845417139
Inyo County,2025-01-31,508374.9094433382
Mariposa County,2025-01-31,401154.12061428645
Trinity County,2025-01-31,270113.8002041208
Mono County,2025-01-31,830168.4607099887
Modoc County,2025-01-31,184107.00294593023
Sierra County,2025-01-31,323846.3622611042
Alpine County,2025-01-31,592739.3905072962
Los Angeles County,2025-02-28,946622.1582145984
San Diego County,2025-02-28,1030033.2165746737
Orange County,2025-02-28,1296518.9181063194
Riverside County,2025-02-28,636945.4228334761
San Bernardino County,2025-02-28,566835.1988197807
Santa Clara County,2025-02-28,1883583.450400508
Alameda County,2025-02-28,1234823.2468038502
Sacramento County,2025-02-28,557340.4547267543
Contra Costa County,2025-02-28,869762.9228552341
Fresno County,2025-02-28,414727.73953887325
Kern County,2025-02-28,367390.2233445688
San Francisco County,2025-02-28,1440506.981175108
Ventura County,2025-02-28,932179.888076591
San Joaquin County,2025-02-28,565562.3034383655
San Mateo County,2025-02-28,1744873.2202109434
Stanislaus County,2025-02-28,475779.1336025928
Sonoma County,2025-02-28,846767.9474350837
Tulare County,2025-02-28,359450.6684601565
Solano County,2025-02-28,606163.606178556
Santa Barbara County,2025-02-28,1051432.4445018168
Monterey County,2025-02-28,884489.6073114872
Placer County,2025-02-28,709740.340654872
San Luis Obispo County,2025-02-28,923564.257418656
Merced County,2025-02-28,427932.3288927055
Santa Cruz County,2025-02-28,1183682.6723505948
Marin County,2025-02-28,1621708.2277755246
Butte County,2025-02-28,404079.16928314295
Yolo County,2025-02-28,644427.2789892544
El Dorado County,2025-02-28,669965.9237505401
Shasta County,2025-02-28,379853.3961776993
Imperial County,2025-02-28,356253.5665064259
Madera County,2025-02-28,419911.7846841567
Kings County,2025-02-28,355753.8603073506
Napa County,2025-02-28,949285.7502909604
Humboldt County,2025-02-28,448637.7917524116
Nevada County,2025-02-28,626345.4609885829
Sutter County,2025-02-28,444411.8412341984
Mendocino County,2025-02-28,513983.4127702416
Yuba County,2025-02-28,434736.002630389
Lake County,2025-02-28,319154.7985225936
Tehama County,2025-02-28,317962.5353794167
San Benito County,2025-02-28,781471.0724751375
Tuolumne County,2025-02-28,409422.64624015737
Calaveras County,2025-02-28,458903.270239256
Siskiyou County,2025-02-28,291684.63917178515
Amador County,2025-02-28,432479.3965453601
Lassen County,2025-02-28,229472.77394642308
Glenn County,2025-02-28,351120.74700636463
Del Norte County,2025-02-28,369558.87036535406
Colusa County,2025-02-28,375308.6454307262
Plumas County,2025-02-28,366753.1555082055
Inyo County,2025-02-28,509090.7535361317
Mariposa County,2025-02-28,400005.0695497336
Trinity County,2025-02-28,268202.0151254509
Mono County,2025-02-28,833621.6545728478
Modoc County,2025-02-28,184789.96916122417
Sierra County,2025-02-28,326564.1955012742
Alpine County,2025-02-28,594907.6459737016
Los Angeles County,2025-03-31,939187.9134015276
San Diego County,2025-03-31,1028196.363856368
Orange County,2025-03-31,1296238.6356940528
Riverside County,2025-03-31,634463.1871125664
San Bernardino County,2025-03-31,564017.0419841441
Santa Clara County,2025-03-31,1870565.2710462064
Alameda County,2025-03-31,1231697.6812314063
Sacramento County,2025-03-31,555256.1690355433
Contra Costa County,2025-03-31,865375.1884924826
Fresno County,2025-03-31,414353.45011466974
Kern County,2025-03-31,367369.7307501992
San Francisco County,2025-03-31,1439124.2979687664
Ventura County,2025-03-31,930920.4836930502
San Joaquin County,2025-03-31,563574.7128986763
San Mateo County,2025-03-31,1745843.0877153233
Stanislaus County,2025-03-31,474731.48308101617
Sonoma County,2025-03-31,844092.1713575972
Tulare County,2025-03-31,360047.427998676
Solano County,2025-03-31,604545.6979334083
Santa Barbara County,2025-03-31,1049310.853931208
Monterey County,2025-03-31,881615.2880837094
Placer County,2025-03-31,709345.492126129
San Luis Obispo County,2025-03-31,922552.4440942686
Merced County,2025-03-31,426908.6230636043
Santa Cruz County,2025-03-31,1179389.2939639415
Marin County,2025-03-31,1616005.2547859345
Butte County,2025-03-31,403410.9649077372
Yolo County,2025-03-31,643129.5595992376
El Dorado County,2025-03-31,668986.0457254635
Shasta County,2025-03-31,379133.2935830713
Imperial County,2025-03-31,357196.6692098491
Madera County,2025-03-31,419469.37496049056
Kings County,2025-03-31,356044.42469160655
Napa County,2025-03-31,947230.0090735552
Humboldt County,2025-03-31,445753.5154579461
Nevada County,2025-03-31,625074.2304071701
Sutter County,2025-03-31,442596.8501186511
Mendocino County,2025-03-31,510705.3180667181
Yuba County,2025-03-31,433452.0907627847
Lake County,2025-03-31,318081.98469618475
Tehama County,2025-03-31,317203.85845669475
San Benito County,2025-03-31,780056.5707900837
Tuolumne County,2025-03-31,408974.6258265078
Calaveras County,2025-03-31,458120.48675871984
Siskiyou County,2025-03-31,290935.220012604
Amador County,2025-03-31,431165.415576689
Lassen County,2025-03-31,229114.4249098299
Glenn County,2025-03-31,350621.4112409817
Del Norte County,2025-03-31,367922.2595862716
Colusa County,2025-03-31,373133.4704887206
Plumas County,2025-03-31,366827.1639409655
Inyo County,2025-03-31,509271.1088589416
Mariposa County,2025-03-31,399760.87603726186
Trinity County,2025-03-31,266120.2049279132
Mono County,2025-03-31,836675.4172603305
Modoc County,2025-03-31,184804.8788682885
Sierra County,2025-03-31,328647.1074392216
Alpine County,2025-03-31,593572.7087477657
Los Angeles County,2025-04-30,933558.5349465336
San Diego County,2025-04-30,1025168.7986356732
Orange County,2025-04-30,1294120.094150969
Riverside County,2025-04-30,632482.301605078
San Bernardino County,2025-04-30,561546.3404768803
Santa Clara County,2025-04-30,1857244.5164394176
Alameda County,2025-04-30,1226913.224568053
Sacramento County,2025-04-30,553142.7204283172
Contra Costa County,2025-04-30,860361.616908674
Fresno County,2025-04-30,413874.0748400276
Kern County,2025-04-30,367164.2304455894
San Francisco County,2025-04-30,1438476.5574179208
Ventura County,2025-04-30,929788.8487084078
San Joaquin County,2025-04-30,560894.1500243103
San Mateo County,2025-04-30,1745440.627858096
Stanislaus County,2025-04-30,474161.5366575241
Sonoma County,2025-04-30,840956.3152839228
Tulare County,2025-04-30,360384.6617312439
